MurmurHash3 32,XXHash 32,Polynomial Hash 32
73.6188,31.0200,217.8337
123.6050,45.1574,312.5018
162.3070,56.7953,427.9469
197.1958,72.5440,529.1102
230.7492,85.4679,646.3094
269.1712,111.0016,763.9069
311.8464,138.6287,1111.3785
405.4905,173.4547,1191.9944
439.1026,182.5254,1411.6759
502.1608,197.3800,1487.8041
528.6557,217.0203,1570.2532
565.9815,227.9031,1811.4237
626.9862,245.5850,1972.2784
675.0053,264.3935,1968.6230
694.3138,277.5479,2091.8283
762.7956,296.1746,2269.6680
796.6257,309.4416,2373.0799
810.6034,331.5149,2578.9405
